date_of_trip,Member type,count
2011-09-16,Member,3952
2011-09-17,Casual,1431
2011-09-17,Member,3031
2011-09-18,Casual,1353
2011-09-18,Member,2875
2011-09-19,Casual,688
2011-09-19,Member,3779
2011-09-20,Casual,437
2011-09-20,Member,3156
2011-09-21,Casual,537
2011-09-21,Member,3768
2011-09-22,Casual,555
2011-09-22,Member,4188
2011-09-23,Casual,258
2011-09-23,Member,2109
2011-09-24,Casual,1777
2011-09-24,Member,3576
2011-09-25,Casual,1544
2011-09-25,Member,3416
2011-09-26,Casual,681
2011-09-26,Member,3906
2011-09-27,Casual,476
2011-09-27,Member,3593
2011-09-28,Casual,481
2011-09-28,Member,3396
2011-09-29,Casual,653
2011-09-29,Member,4140
2011-09-30,Casual,830
2011-09-30,Member,4320
2011-10-01,Casual,476
2011-10-01,Member,1926
2011-10-02,Casual,616
2011-10-02,Member,2268
2011-10-03,Casual,330
2011-10-03,Member,3199
2011-10-04,Casual,485
2011-10-04,Member,3920
2011-10-05,Casual,559
2011-10-05,Member,4212
2011-10-06,Casual,639
2011-10-06,Member,4078
2011-10-07,Casual,949
2011-10-07,Member,3976
2011-10-08,Casual,2233
2011-10-08,Member,3104
2011-10-09,Casual,2397
2011-10-09,Member,3048
2011-10-10,Casual,1513
2011-10-10,Member,3539
2011-10-11,Casual,666
2011-10-11,Member,3837
2011-10-12,Casual,217
2011-10-12,Member,2175
2011-10-13,Casual,290
2011-10-13,Member,2592
2011-10-14,Casual,528
2011-10-14,Member,3064
2011-10-15,Casual,1896
2011-10-15,Member,3240
2011-10-16,Casual,1748
2011-10-16,Member,3223
2011-10-17,Casual,713
2011-10-17,Member,3806
2011-10-18,Casual,635
2011-10-18,Member,4064
2011-10-19,Casual,254
2011-10-19,Member,2144
2011-10-20,Casual,471
2011-10-20,Member,3681
2011-10-21,Casual,676
2011-10-21,Member,3582
2011-10-22,Casual,1499
2011-10-22,Member,2749
2011-10-23,Casual,1619
2011-10-23,Member,2707
2011-10-24,Casual,698
2011-10-24,Member,3444
2011-10-25,Casual,694
2011-10-25,Member,3936
2011-10-26,Casual,404
2011-10-26,Member,3452
2011-10-27,Casual,240
2011-10-27,Member,2389
2011-10-28,Casual,455
2011-10-28,Member,3253
2011-10-29,Casual,57
2011-10-29,Member,562
2011-10-30,Casual,885
2011-10-30,Member,2403
2011-10-31,Casual,362
2011-10-31,Member,3271
2011-11-01,Casual,410
2011-11-01,Member,3628
2011-11-02,Casual,367
2011-11-02,Member,3769
2011-11-03,Casual,317
2011-11-03,Member,3597
2011-11-04,Casual,470
2011-11-04,Member,3533
2011-11-05,Casual,1154
2011-11-05,Member,2733
2011-11-06,Casual,952
2011-11-06,Member,2659
2011-11-06,Unknown,1
2011-11-07,Casual,373
2011-11-07,Member,3602
2011-11-08,Casual,376
2011-11-08,Member,3773
2011-11-09,Casual,305
2011-11-09,Member,3752
2011-11-10,Casual,190
2011-11-10,Member,2713
2011-11-11,Casual,440
2011-11-11,Member,2897
2011-11-12,Casual,1275
2011-11-12,Member,2758
2011-11-13,Casual,1004
2011-11-13,Member,2680
2011-11-14,Casual,594
2011-11-14,Member,3833
2011-11-15,Casual,449
2011-11-15,Member,3712
2011-11-16,Casual,145
2011-11-16,Member,1660
2011-11-17,Casual,139
2011-11-17,Member,2886
2011-11-18,Casual,243
2011-11-18,Member,3113
2011-11-19,Casual,941
2011-11-19,Member,2679
2011-11-20,Casual,787
2011-11-20,Member,2685
2011-11-21,Casual,220
2011-11-21,Member,2510
2011-11-22,Casual,69
2011-11-22,Member,1518
2011-11-23,Casual,112
2011-11-23,Member,2423
2011-11-24,Casual,559
2011-11-24,Member,918
2011-11-25,Casual,1095
2011-11-25,Member,1677
2011-11-26,Casual,1249
2011-11-26,Member,1776
2011-11-27,Casual,808
2011-11-27,Member,2221
2011-11-28,Casual,253
2011-11-28,Member,3559
2011-11-29,Casual,96
2011-11-29,Member,2791
2011-11-30,Casual,187
2011-11-30,Member,3389
2011-12-01,Casual,182
2011-12-01,Member,3500
2011-12-02,Casual,268
2011-12-02,Member,3633
2011-12-03,Casual,705
2011-12-03,Member,2857
2011-12-04,Casual,633
2011-12-04,Member,2808
2011-12-05,Casual,233
2011-12-05,Member,3511
2011-12-06,Casual,126
2011-12-06,Member,2437
2011-12-07,Casual,50
2011-12-07,Member,648
2011-12-08,Casual,150
2011-12-08,Member,3145
2011-12-09,Casual,259
2011-12-09,Member,3324
2011-12-10,Casual,502
2011-12-10,Member,2658
2011-12-11,Casual,376
2011-12-11,Member,2337
